index,modelname,num_groups,group_id,mean,std,fast_gini,avg_rscore,min_rscore,max_rscore,fast_gini_min,fast_gini_mean,fast_gini_max
6540,bm25,10000,6540,0.30359916214202287,0.16739465017196054,0.18812434131565245,0.30359916214202287,0.21667906533553166,1.6922375555181752,0.14495754789550494,0.2441684082821426,0.6615901062253292
6541,bm25,10000,6541,0.3166469248755899,0.1882008488752864,0.21235925933290056,0.3166469248755899,0.21667906533553166,2.0760852317070806,0.14495754789550494,0.2441684082821426,0.6615901062253292
6542,bm25,10000,6542,0.31731214950768144,0.18595541045881553,0.21514406370665612,0.31731214950768144,0.21667906533553166,1.897814654202382,0.14495754789550494,0.2441684082821426,0.6615901062253292
6543,bm25,10000,6543,0.30208116633131277,0.15763139357711026,0.18425672501427115,0.30208116633131277,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6544,bm25,10000,6544,0.3082460880931763,0.16452374272847362,0.19662937064483516,0.3082460880931763,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6545,bm25,10000,6545,0.4284839238742025,0.33038682235000555,0.3368610961660171,0.4284839238742025,0.21667906533553166,2.46645957983042,0.14495754789550494,0.2441684082821426,0.6615901062253292
6546,bm25,10000,6546,0.4293892875243401,0.4094519107811685,0.3590881084728697,0.4293892875243401,0.21667906533553166,3.8182013366769243,0.14495754789550494,0.2441684082821426,0.6615901062253292
6547,bm25,10000,6547,0.44895290112933955,0.34177341698807034,0.34289282297723783,0.44895290112933955,0.21667906533553166,3.3044946780149336,0.14495754789550494,0.2441684082821426,0.6615901062253292
6548,bm25,10000,6548,0.4336093296621714,0.3455717292274028,0.3420969913164989,0.43360932966217147,0.21667906533553166,3.151262667452779,0.14495754789550494,0.2441684082821426,0.6615901062253292
6549,bm25,10000,6549,0.3301433511817626,0.1954713616959763,0.23081964639758748,0.3301433511817626,0.21667906533553166,1.9565933832587141,0.14495754789550494,0.2441684082821426,0.6615901062253292
6550,bm25,10000,6550,0.3861284614375536,0.34776442027603305,0.3178251842158,0.3861284614375536,0.21667906533553166,5.225292999538985,0.14495754789550494,0.2441684082821426,0.6615901062253292
6551,bm25,10000,6551,0.4820444143584778,0.36324092167895994,0.332840767093753,0.48204441435847784,0.21667906533553166,3.80119299569091,0.14495754789550494,0.2441684082821426,0.6615901062253292
6552,bm25,10000,6552,0.30208116633131277,0.15723483598390545,0.18425672501427115,0.30208116633131277,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6553,bm25,10000,6553,0.3032943437061373,0.1594248035579399,0.1871594869568119,0.30329434370613734,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6554,bm25,10000,6554,0.34327405264921906,0.2186302032002728,0.2516972795020648,0.343274052649219,0.21667906533553166,2.3590229876405586,0.14495754789550494,0.2441684082821426,0.6615901062253292
6555,bm25,10000,6555,0.39359109619715016,0.24794746506077084,0.2879133233095551,0.39359109619715016,0.21667906533553166,2.352934267515801,0.14495754789550494,0.2441684082821426,0.6615901062253292
6556,bm25,10000,6556,0.30436389554792215,0.15903380782575458,0.1883605945815083,0.30436389554792215,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6557,bm25,10000,6557,0.33036901307594013,0.2243666531455614,0.2385787454323701,0.33036901307594013,0.21667906533553166,2.8853900817779268,0.14495754789550494,0.2441684082821426,0.6615901062253292
6558,bm25,10000,6558,0.3074617469020995,0.1666649833894642,0.19645448282637082,0.3074617469020995,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6559,bm25,10000,6559,0.37188022370332063,0.2970909350175786,0.29415046578338133,0.37188022370332063,0.21667906533553166,4.783204735980309,0.14495754789550494,0.2441684082821426,0.6615901062253292
6560,bm25,10000,6560,0.36815536627934203,0.27345335534093124,0.28598293643346456,0.3681553662793421,0.21667906533553166,3.4469505719921867,0.14495754789550494,0.2441684082821426,0.6615901062253292
