modelname,granu,min_gini,mean_gini,max_gini
bm25_tctcolbert,500,0.22012845153921962,0.31858204786468924,0.6243456445758943
bm25_tctcolbert,1000,0.19881093687279358,0.3108453471097353,0.6243456445758943
bm25_tctcolbert,2000,0.18637339165032854,0.2992587280187437,0.6340178155883073
bm25_tctcolbert,5000,0.18425672501427096,0.28317027729893157,0.7201557283094336
bm25_tctcolbert,10000,0.16137757796889424,0.26674074230250283,0.6509469699522775
